,original_amount,revised_amount,year,GDP_growth,inflation,manufacturing_value_added,official_exchange_rate,ENT  (ENTERTAIN),GENERAL,GS   (GEN SERV),HUD (GEN SERV-HUD),INS  (INSTRUCTOR),IT/TECH,LS   (LEASE SVCS),LW   (DON'T USE),PRO  (PRO SERVIC),RISK - HR / INS,RNT  (EQUIP RENT)
5986,18291.7,78670.83,2021,1.54989495017045,3.15684156862206,11.9472468321556,1,0,0,1,0,0,0,0,0,0,0,0
5987,19975.0,19975.0,2016,1.66747207596187,1.26158320570537,11.2236379165299,1,0,0,1,0,0,0,0,0,0,0,0
5988,4806.80086634262,4952.65968941398,2014,2.9453848312678,2.44258329692818,11.348073930706,1,0,0,0,0,0,0,0,0,0,0,0
5989,5000.0,20000.0,2020,2.28068760319185,2.06933726526059,11.8575606302731,1,0,0,1,0,0,0,0,0,0,0,0
5990,2018.41,2018.41,2011,5.94548476122172,4.69785886363739,10.7103708073141,1,0,0,1,0,0,0,0,0,0,0,0
5991,20000.0,26000.0,2021,1.54989495017045,3.15684156862206,11.9472468321556,1,0,0,1,0,0,0,0,0,0,0,0
5992,21637.0,21637.0,2021,1.54989495017045,3.15684156862206,11.9472468321556,1,0,0,1,0,0,0,0,0,0,0,0
5993,4500.0,4500.0,2015,2.24192121597748,2.13011000365963,11.2588564739494,1,0,0,1,0,0,0,0,0,0,0,0
5994,17615.0,17614.58,2020,2.28068760319185,2.06933726526059,11.8575606302731,1,0,0,1,0,0,0,0,0,0,0,0
5995,27200.0,23453.66,2019,1.84187539518688,1.46483265562714,11.7981164603897,1,0,0,0,0,0,0,0,0,1,0,0
5996,13800.0,4462.92,2020,2.28068760319185,2.06933726526059,11.8575606302731,1,0,0,1,0,0,0,0,0,0,0,0
5997,15000.0,15000.0,2013,2.29443907769311,1.81221007526015,11.0580367745651,1,0,0,1,0,0,0,0,0,0,0,0
5998,24950.0,24950.0,2010,2.06159311851432,8.00279982052117,10.70037081,1,0,0,0,0,0,0,0,0,1,0,0
5999,30400.0,46026.32,2013,2.29443907769311,1.81221007526015,11.0580367745651,1,0,0,0,0,0,0,0,0,0,0,0
6000,29999.99,22428.87,2022,2.70885669419681,1.64004344238989,11.9060850975322,1,0,0,1,0,0,0,0,0,0,0,0
6001,20000.0,20000.0,2018,2.28777593255359,1.62222297740821,11.6554754899495,1,0,0,1,0,0,0,0,0,0,0,0
6002,8410.98,7913.0,2018,2.28777593255359,1.62222297740821,11.6554754899495,1,0,0,1,0,0,0,0,0,0,0,0
6003,6027.0,0.0,2016,1.66747207596187,1.26158320570537,11.2236379165299,1,0,0,0,0,0,0,0,0,0,0,0
6004,295000.0,295000.0,2021,1.54989495017045,3.15684156862206,11.9472468321556,1,0,0,0,1,0,0,0,0,0,0,0
6005,50000.0,49540.75,2018,2.28777593255359,1.62222297740821,11.6554754899495,1,0,0,0,0,0,0,0,0,0,0,0
6006,89000.0,89000.0,2021,1.54989495017045,3.15684156862206,11.9472468321556,1,0,0,1,0,0,0,0,0,0,0,0
6007,24000.0,24000.0,2017,2.70636958176399,0.118627135552435,11.6623134302954,1,0,0,1,0,0,0,0,0,0,0,0
6008,2240.7,5927.7,2012,-2.76780251140578,1.23358439630637,10.6290647168458,1,0,0,0,0,0,0,0,0,0,0,1
6009,25000.0,25000.0,2021,1.54989495017045,3.15684156862206,11.9472468321556,1,0,0,1,0,0,0,0,0,0,0,0
6010,500.0,500.0,2010,2.06159311851432,8.00279982052117,10.70037081,1,0,0,0,0,0,0,0,0,1,0,0
6011,3924.0,5886.0,2010,2.06159311851432,8.00279982052117,10.70037081,1,0,1,0,0,0,0,0,0,0,0,0
6012,12228.0,10464.0,2014,2.9453848312678,2.44258329692818,11.348073930706,1,0,0,1,0,0,0,0,0,0,0,0
6013,4500.0,4500.0,2020,2.28068760319185,2.06933726526059,11.8575606302731,1,0,0,1,0,0,0,0,0,0,0,0
6014,259453.0,232068.32,2015,2.24192121597748,2.13011000365963,11.2588564739494,1,0,0,0,0,0,0,0,0,0,0,0
6015,14069.0,3707.3,2013,2.29443907769311,1.81221007526015,11.0580367745651,1,0,1,0,0,0,0,0,0,0,0,0
6016,10000.0,30563.0,2021,1.54989495017045,3.15684156862206,11.9472468321556,1,0,0,1,0,0,0,0,0,0,0,0
